,ID,Items
1,1,FKBP4
2,1,AHSA1
3,1,CDC37
4,1,TTC1
5,1,TDRD1
6,1,FKBP6
7,1,RNF17
8,1,MOV10L1
9,1,UNC45B
10,1,AIP
11,1,HSPB8
12,1,ASZ1
13,1,PIWIL4
14,1,HSPB3
15,1,PPID
16,1,CHORDC1
17,1,HSP90AA1
18,1,PTGES
19,1,PTGES2
20,1,TDRD6
21,1,PIWIL2
22,1,RHOU
23,1,MAEL
24,1,TDRKH
25,1,HENMT1
26,1,HSP90AB1
27,1,TOMM34
28,1,ITGB1BP2
29,1,FKBPL
30,1,DNAJA1
31,1,CDC37L1
32,1,AHSA2
33,1,DNAJA4
34,1,TDRD9
35,1,TDRD12
36,1,HSBP1
37,1,TDRD5
38,1,UNC45A
39,1,EXD1
40,1,DDX4
41,1,RHOBTB2
42,1,FKBP5
43,1,PTGES3
44,2,CYP26B1
45,2,FMO2
46,2,CYP3A5
47,2,SULT1E1
48,2,FMO5
49,2,CYP2C9
50,2,PPIG
51,2,CYP26C1
52,2,CBR3
53,2,CRABP1
54,2,UGT1A6
55,2,UGT2B7
56,2,UGT1A8
57,2,CYP2S1
58,2,CYP4A11
59,2,CYP2B6
60,2,CYP2A13
61,2,CYP3A4
62,2,CYP1A2
63,2,CYP2D6
64,2,FMO4
65,2,FMO3
66,2,CYP2C8
67,2,CYP2C19
68,2,CYP4A22
69,2,UGT1A4
70,2,UGT1A1
71,2,SLC35A2
72,2,CYP3A7
73,2,FMO1
74,3,HS3ST1
75,3,XYLT2
76,3,B4GALT7
77,3,CHPF2
78,3,DCN
79,3,CHPF
80,3,WISP1
81,3,NCAN
82,3,CHSY1
83,3,HS6ST1
84,3,HS3ST2
85,3,NDST1
86,3,GLCE
87,3,NDST4
88,3,VCAN
89,3,B3GAT3
90,3,CHST7
91,3,HS3ST3A1
92,3,NDST3
93,3,CHSY3
94,3,CHST11
95,3,DSEL
96,3,NDST2
97,3,CSPG4
98,3,CHST13
99,3,BGN
100,3,HS3ST4
101,3,BCAN
102,3,DSE
103,3,HS3ST3B1
104,3,UST
105,3,DPT
106,3,HPSE2
107,3,CHST3
108,3,CSGALNACT2
109,3,HS6ST3
110,3,EXT1
111,3,B3GALT6
112,3,CSPG5
113,3,EXT2
114,3,HPSE
115,3,CHST15
116,3,CSGALNACT1
117,3,HS3ST6
118,3,HS3ST5
119,3,HS6ST2
120,3,CHST12
121,4,SEMA3F
122,4,SEMA3G
123,4,SEMA3C
124,4,SEMA3A
125,4,NRP1
126,4,SEMA3D
127,4,PLXNA4
