,ID,Items
1,1,ARF5
2,1,GPLD1
3,1,COPB1
4,1,ARF3
5,1,KDELR2
6,1,COPE
7,1,ARFGAP3
8,1,ARCN1
9,1,SCYL1
10,1,TMED3
11,1,ARAP2
12,1,ARF4
13,1,AGAP1
14,1,ARHGAP1
15,1,ARFGAP1
16,1,COPG1
17,1,COPB2
18,1,KDELR1
19,1,COPA
20,1,GBF1
21,1,ARHGAP4
22,1,ARAP1
23,1,KDELR3
24,1,R3HDM1
25,1,COPG2
26,1,ARFGAP2
27,1,GGA3
28,1,ENSG00000272822
29,1,ARF1
30,1,COPZ1
31,1,COPZ2
32,1,ARFIP2
33,2,FKBP4
34,2,PPP5C
35,2,AHSA1
36,2,CDC37
37,2,EDF1
38,2,NR3C1
39,2,NKTR
40,2,HSPE1
41,2,AHR
42,2,TRAP1
43,2,HSPBP1
44,2,DNAJA3
45,2,HSPB8
46,2,CLPB
47,2,HSPB2
48,2,HSPB3
49,2,PPID
50,2,NUDCD2
51,2,MOS
52,2,NUDC
53,2,PGR
54,2,HSP90AA1
55,2,HUWE1
56,2,DNAJB13
57,2,NR3C2
58,2,STIP1
59,2,DNAJB4
60,2,HSP90AB1
61,2,TOMM34
62,2,PIM1
63,2,PIM2
64,2,SUGT1
65,2,DNAJA1
66,2,AHSA2
67,2,PTGES3L
68,2,HSBP1
69,2,DNAJB5
70,2,UNC45A
71,2,HSF1
72,2,FKBP5
73,2,HSPB6
74,2,PPP5D1
75,2,PTGES3
76,2,FAM213A
77,3,FUCA2
78,3,HEXB
79,3,HEXA
80,3,HEXDC
81,3,CHIT1
82,3,FAM26F
83,3,CHIA
84,3,GBGT1
85,3,FUCA1
86,3,ST3GAL5
87,3,B3GALNT1
88,3,RENBP
89,3,NAGA
90,3,A4GALT
91,4,HS3ST1
92,4,B3GAT2
93,4,HS6ST1
94,4,HS3ST2
95,4,NDST1
96,4,GLCE
97,4,GPC1
98,4,NDST4
99,4,LRP12
100,4,HS3ST3A1
101,4,GPC2
102,4,NDST3
103,4,SDC2
104,4,NDST2
105,4,HS3ST4
106,4,SDC3
107,4,LRP10
108,4,SULF2
109,4,HS3ST3B1
110,4,ENSG00000267561
111,4,HS2ST1
112,4,GPC4
113,4,SDC4
114,4,HSPG2
115,4,TM9SF2
116,4,HS6ST3
117,4,GPC6
118,4,GPC5
119,4,EXT1
120,4,AGRN
121,4,SDC1
122,4,GPC3
123,4,EXT2
124,4,HPSE
125,4,HS3ST6
126,4,HS3ST5
127,4,HS6ST2
128,4,B3GAT1
129,5,SEMA3F
130,5,SEMA4G
131,5,SEMA3G
132,5,SEMA6A
133,5,PLXNC1
134,5,SEMA7A
135,5,FARP2
136,5,SEMA3C
137,5,SEMA3A
138,5,NRP1
139,5,SEMA3D
140,5,SEMA3E
141,5,SEMA4C
142,5,PLXND1
143,5,SEMA6D
144,5,FES
145,5,SEMA4F
146,5,PLXNB1
147,5,PLXNA4
148,5,NRP2
149,5,PLXNA2
150,5,SEMA4A
151,5,SEMA6C
152,5,PLXNA3
153,5,PKHD1
154,5,PLXNA1
155,5,PLXNB2
156,5,SEMA4D
157,5,PLXNB3
158,5,SEMA6B
159,5,SEMA3B
160,6,CFTR
161,6,SLC13A1
162,6,TTYH2
163,6,CA2
164,6,BEST3
165,6,CLCN1
166,6,ANO1
167,6,ANO2
168,6,SLC26A1
169,6,SLC26A9
170,6,BEST4
171,6,SLC26A6
172,6,SLC6A14
173,7,CYP51A1
174,7,NFYB
175,7,HSD17B7
176,7,C14orf1
177,7,MSMO1
178,7,CYP46A1
179,7,SC5D
180,7,SQLE
181,7,CYP39A1
182,7,SIGMAR1
183,7,TM7SF2
184,7,GGPS1
185,7,HMGCR
186,7,HSD3B7
187,7,MVD
188,7,CYP7B1
189,7,ZHX3
190,7,FAXDC2
191,7,HMGCS1
192,7,SDR42E1
193,7,LBR
194,7,INSIG1
195,7,NFYA
196,7,DHCR7
197,7,CYP20A1
198,7,FDPS
199,7,R3HDM4
200,7,ACAT2
201,7,PMVK
202,7,HMGCS2
203,7,NSDHL
204,7,DHCR24
205,7,CH25H
206,7,IDI1
207,7,LSS
208,7,NFYC
209,7,EBP
210,7,MVK
211,7,FDFT1
212,8,SLC7A2
213,8,SLC7A9
214,8,SLC1A6
215,8,SLC1A4
216,8,AANAT
217,8,SLC7A10
218,8,SLC38A2
219,8,SLC3A1
220,8,SLC1A1
221,8,SLC5A1
222,8,SLC7A11
223,8,SLC6A19
224,8,CLPTM1L
225,8,SLC6A18
226,8,SLC6A20
227,8,SLC7A3
228,8,SLC3A2
229,8,SLC7A7
230,8,SLC38A4
231,8,SLC1A5
232,8,SLC38A1
233,8,SLC1A7
234,9,PDK4
235,9,UCP1
236,9,PPARGC1A
237,9,PRDM16
238,9,CIDEA
239,9,UCP3
240,9,TBX1
241,9,ADRB3
242,9,HLX
243,9,ESRRG
244,9,FNDC5
245,9,SLC7A1
246,9,PLIN5
247,9,NRF1
248,9,CPT1B
249,9,TMEM26
250,9,ESRRA
251,9,PERM1
252,9,FGF21
253,10,USH1C
254,10,CIB2
255,10,SLC4A7
256,10,GPRIN1
257,10,USH2A
258,10,ANKS4B
259,10,PDDC1
260,10,CLRN1
261,10,CDHR5
262,10,DFNB31
263,10,CUZD1
264,10,DEAF1
265,10,CDH23
266,10,GPR98
267,10,MYO7A
268,10,VEZT
269,10,MYO7B
270,10,CDHR2
271,10,USH1G
272,10,PDZD7
273,11,TMEM132A
274,11,TMED1
275,11,SEC61B
276,11,IL1RL1
277,11,LMAN1
278,11,TMED2
279,11,SPCS2
280,11,SSR3
281,11,TMED7-TICAM2
282,11,TMED6
283,11,SPPL3
284,11,SSR2
285,11,TMED10
286,11,LMAN1L
287,11,SSR4
288,11,TMED9
289,11,TMED4
290,11,TMED7
291,11,SEC11C
292,11,SPCS1
293,12,DVL2
294,12,CELSR3
295,12,CELSR1
296,12,PRICKLE2
297,12,SENP2
298,12,NKD2
299,12,TMEM88
300,12,DVL3
301,12,CTHRC1
302,12,DACT1
303,12,VANGL1
304,12,VANGL2
305,12,DVL1
306,12,CCDC88C
307,12,OEBT
308,12,CXXC4
309,12,PTK7
310,12,ANKRD6
311,12,PRICKLE3
312,13,HOXA11
313,13,HOXA13
314,13,HOXB8
315,13,DCLK1
316,13,MEIS1
317,13,HOXA10
318,13,PKNOX1
319,13,MAB21L2
320,13,TSHZ2
321,13,MAB21L1
322,13,NBEA
323,13,MEIS2
324,14,TRAPPC6A
325,14,TRAPPC8
326,14,TRAPPC10
327,14,TRAPPC2L
328,14,TRAPPC1
329,14,PCP2
330,14,TRAPPC12
331,14,MCEMP1
332,14,TRAPPC6B
333,14,SERHL2
334,14,TRAPPC11
335,14,RASAL3
336,14,TRAPPC3L
337,14,FAM102B
338,14,TRAPPC9
339,14,TRAPPC2
340,14,PET117
341,14,TRAPPC4
342,14,TRAPPC2P1
343,14,TRAPPC5
344,14,PET100
345,14,TRAPPC3
346,14,JRK
347,14,ENSG00000280433
348,15,SPATA20
349,15,TMEM78
350,15,C1orf111
351,15,IRAK1BP1
352,15,SPATA25
353,15,SPATA3
354,16,RHBDD2
355,16,RHBDD3
356,16,SNX24
357,16,RHBDF1
358,16,RHBDL2
359,16,RHBDL1
360,16,RHBDD1
361,16,UBAC2
362,16,ARMC9
363,17,TSR3
364,17,ASB1
365,17,CCAR1
